ride_ts,video_path,ride_dir
20240115090907,frodobots_data/output_rides_0/ride_16484_20240115090907/recordings/fe009c2e2944f30fec2c9797b018ec32_ride_16484__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16484_20240115090907
20240116072413,frodobots_data/output_rides_0/ride_16540_20240116072413/recordings/7863bf7f3c41432c1438c49f7c744312_ride_16540__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16540_20240116072413
20240122060947,frodobots_data/output_rides_0/ride_16746_20240122060947/recordings/951b0e38184568d630a7b5919b6c5a72_ride_16746__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16746_20240122060947
20240122081049,frodobots_data/output_rides_0/ride_16767_20240122081049/recordings/b678c2270c4d6c416945fabfd129a8b2_ride_16767__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16767_20240122081049
20240123063146,frodobots_data/output_rides_0/ride_16815_20240123063146/recordings/f08623993e4bbe616e3baeb83378dc92_ride_16815__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16815_20240123063146
20240125005103,frodobots_data/output_rides_0/ride_16946_20240125005103/recordings/b380665427472791d07a78b6083dfcf2_ride_16946__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16946_20240125005103
20240125024041,frodobots_data/output_rides_0/ride_16975_20240125024041/recordings/e3f54b9cdf44f48d196b66ad4dfaa722_ride_16975__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16975_20240125024041
20240125045558,frodobots_data/output_rides_0/ride_17039_20240125045558/recordings/7442ddc3e14a7830bd93ecb67f410e52_ride_17039__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17039_20240125045558
20240125071537,frodobots_data/output_rides_0/ride_17089_20240125071537/recordings/5f51185b0b4a43e747c8b383124477b2_ride_17089__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17089_20240125071537
20240126065902,frodobots_data/output_rides_0/ride_17288_20240126065902/recordings/e5e8350c104fb51aa6ff58ada4ce47b2_ride_17288__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17288_20240126065902
20240126083944,frodobots_data/output_rides_0/ride_17317_20240126083944/recordings/b7257ff83448367e50e571b32a76e4d2_ride_17317__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17317_20240126083944
20240127031836,frodobots_data/output_rides_0/ride_17366_20240127031836/recordings/0f8bba4199489846d76d0d8768ad79a2_ride_17366__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17366_20240127031836
20240127043333,frodobots_data/output_rides_0/ride_17396_20240127043333/recordings/e6cffb2a374d35ab86640a92016dc0a2_ride_17396__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17396_20240127043333
20240127073238,frodobots_data/output_rides_0/ride_17442_20240127073238/recordings/ce26bf8a224746f091a9f9bd67719d72_ride_17442__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17442_20240127073238
20240128022932,frodobots_data/output_rides_0/ride_17488_20240128022932/recordings/56d587fef64fbfe0d8af3ca96932bfd2_ride_17488__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17488_20240128022932
20240128032035,frodobots_data/output_rides_0/ride_17501_20240128032035/recordings/d8a201193142d4c07e86149c7a4c5792_ride_17501__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17501_20240128032035
20240128044959,frodobots_data/output_rides_0/ride_17520_20240128044959/recordings/451a4e28b246d0b9745deaa5a1e52772_ride_17520__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17520_20240128044959
20240128070800,frodobots_data/output_rides_0/ride_17558_20240128070800/recordings/8c8b0784f2466a397a1a469e409323c2_ride_17558__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17558_20240128070800
20240131032555,frodobots_data/output_rides_0/ride_17661_20240131032555/recordings/77124e169a4b6b801f111189e5a95602_ride_17661__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17661_20240131032555
20240201061418,frodobots_data/output_rides_0/ride_17736_20240201061418/recordings/69364e401348b8051a41b29db64d2de2_ride_17736__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17736_20240201061418
20240201063811,frodobots_data/output_rides_0/ride_17746_20240201063811/recordings/01247c33d84c698ccd26f3811585cdc2_ride_17746__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17746_20240201063811
20240203040705,frodobots_data/output_rides_0/ride_17806_20240203040705/recordings/354cefbebc46aaaae60d779cacebf462_ride_17806__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17806_20240203040705
20240203051040,frodobots_data/output_rides_0/ride_17817_20240203051040/recordings/a550bf0fa742b3aa4d48b383462ae477_ride_17817__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17817_20240203051040
20240203054640,frodobots_data/output_rides_0/ride_17826_20240203054640/recordings/64c4c8ef4a4947f0a4223eb413326667_ride_17826__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17826_20240203054640
