ride_ts,video_path,ride_dir
20240115085313,frodobots_data/output_rides_0/ride_16481_20240115085313/recordings/e3bc3f2e6942b2db7d39e79d525a4ee2_ride_16481__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16481_20240115085313
20240116062144,frodobots_data/output_rides_0/ride_16531_20240116062144/recordings/a5cfb28d9c4b7e884ec7dcbfc41c8e12_frodobot_4828dd__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16531_20240116062144
20240122060123,frodobots_data/output_rides_0/ride_16744_20240122060123/recordings/5c074d8bc64cc181de55b690691dbeb2_ride_16744__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16744_20240122060123
20240122075514,frodobots_data/output_rides_0/ride_16764_20240122075514/recordings/1c4d84b0904bafefeba2deb7a718ffd2_ride_16764__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16764_20240122075514
20240123063009,frodobots_data/output_rides_0/ride_16814_20240123063009/recordings/d5c8b3e465417bcc6cf36d99687e8282_ride_16814__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16814_20240123063009
20240125002749,frodobots_data/output_rides_0/ride_16942_20240125002749/recordings/14f42325f04487d147113486864e7542_ride_16942__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16942_20240125002749
20240125023226,frodobots_data/output_rides_0/ride_16971_20240125023226/recordings/a15c5073404c6f58954e2fa04f0865f2_ride_16971__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16971_20240125023226
20240125034920,frodobots_data/output_rides_0/ride_17008_20240125034920/recordings/7ccf8dd7814d4b0e479f5a86436d92b2_ride_17008__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17008_20240125034920
20240125062721,frodobots_data/output_rides_0/ride_17073_20240125062721/recordings/4e443849a34b5fd83218c3bbb18eb012_ride_17073__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17073_20240125062721
20240126064727,frodobots_data/output_rides_0/ride_17286_20240126064727/recordings/87ff4d6ecf436236a6b8eaaae691add2_ride_17286__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17286_20240126064727
20240126074824,frodobots_data/output_rides_0/ride_17299_20240126074824/recordings/59e0e3e7cb4654037c3b86a74c044122_ride_17299__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17299_20240126074824
20240127031444,frodobots_data/output_rides_0/ride_17364_20240127031444/recordings/0a49a3e3ac45b51ac6193eaa17c4cd12_ride_17364__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17364_20240127031444
20240127035735,frodobots_data/output_rides_0/ride_17379_20240127035735/recordings/0071fbefc94e0d0a08b57499cb55d572_ride_17379__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17379_20240127035735
20240127071414,frodobots_data/output_rides_0/ride_17436_20240127071414/recordings/3c793c2ad2469bba76538b8fa35a36a2_ride_17436__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17436_20240127071414
20240127085601,frodobots_data/output_rides_0/ride_17465_20240127085601/recordings/aa76dc391c4c365c39079399df501542_ride_17465__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17465_20240127085601
20240128030958,frodobots_data/output_rides_0/ride_17500_20240128030958/recordings/07ceb6d9234689cf759779b96900a6b2_ride_17500__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17500_20240128030958
20240128040536,frodobots_data/output_rides_0/ride_17510_20240128040536/recordings/242f4cd5554703a46edcde92ae0e7092_ride_17510__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17510_20240128040536
20240128064802,frodobots_data/output_rides_0/ride_17552_20240128064802/recordings/8950525de740d0026b34ee850ccaa122_ride_17552__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17552_20240128064802
20240129070545,frodobots_data/output_rides_0/ride_17602_20240129070545/recordings/7e76f0346d4266f2f0e64fb83efe3862_ride_17602__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17602_20240129070545
20240201060016,frodobots_data/output_rides_0/ride_17733_20240201060016/recordings/c0322321fc47f7a29624d083a32ba4b2_ride_17733__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17733_20240201060016
20240201063329,frodobots_data/output_rides_0/ride_17745_20240201063329/recordings/5a1a0c0dc64ff1bc5f3ce98e3b77f932_ride_17745__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17745_20240201063329
20240202075837,frodobots_data/output_rides_0/ride_17783_20240202075837/recordings/4e860899f74aea6d59c14c869e9c7a69_ride_17783__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17783_20240202075837
20240203050303,frodobots_data/output_rides_0/ride_17814_20240203050303/recordings/a1840803f14fd9f4a21d80bd1f2a29ec_ride_17814__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17814_20240203050303
20240203053644,frodobots_data/output_rides_0/ride_17823_20240203053644/recordings/b8135646db4a286b1590c7b86f935b72_ride_17823__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17823_20240203053644
20240204041030,frodobots_data/output_rides_0/ride_17840_20240204041030/recordings/f50069aaec4f6b884a1a3d8d5a715305_ride_17840__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17840_20240204041030
20240207002729,frodobots_data/output_rides_1/ride_17943_20240207002729/recordings/5cafc4bba84f3d2a84adfc90f68664b6_ride_17943__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_1/ride_17943_20240207002729
