ride_ts,video_path,ride_dir
20240116035143,frodobots_data/output_rides_0/ride_16515_20240116035143/recordings/f6648362d440df767981dc8ea3eb4ba2_ride_16515__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16515_20240116035143
20240122031806,frodobots_data/output_rides_0/ride_16721_20240122031806/recordings/7baabb2c8b4b64b89ddfcf8e4b234ac2_ride_16721__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16721_20240122031806
20240122062527,frodobots_data/output_rides_0/ride_16747_20240122062527/recordings/fce6ce2105404b9021bdbba1f4c269b2_ride_16747__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16747_20240122062527
20240122084028,frodobots_data/output_rides_0/ride_16771_20240122084028/recordings/9918ebb376482da4b31ecd8748fcde32_ride_16771__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16771_20240122084028
20240123063531,frodobots_data/output_rides_0/ride_16816_20240123063531/recordings/c71b8a9f9e47fd06b48e63af50edb1a2_ride_16816__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16816_20240123063531
20240125011214,frodobots_data/output_rides_0/ride_16950_20240125011214/recordings/26a7252c504d90bc84b38b880dee6a12_ride_16950__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_16950_20240125011214
20240125033611,frodobots_data/output_rides_0/ride_17001_20240125033611/recordings/5e86a3d80d47319f72a89285605fd562_ride_17001__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17001_20240125033611
20240125060707,frodobots_data/output_rides_0/ride_17055_20240125060707/recordings/1dbd970f024bcc1a599357abfaba2862_ride_17055__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17055_20240125060707
20240125073326,frodobots_data/output_rides_0/ride_17096_20240125073326/recordings/5ac85d68eb475c63600d6fb404c61522_ride_17096__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17096_20240125073326
20240126072912,frodobots_data/output_rides_0/ride_17297_20240126072912/recordings/352f732d7c48dd07c3e19995415a8452_ride_17297__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17297_20240126072912
20240127030100,frodobots_data/output_rides_0/ride_17357_20240127030100/recordings/c1c68304814133a893d793ab85ab3e52_ride_17357__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17357_20240127030100
20240127032338,frodobots_data/output_rides_0/ride_17369_20240127032338/recordings/ac8faa8dc94714a9cf710c9157508f72_ride_17369__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17369_20240127032338
20240127054203,frodobots_data/output_rides_0/ride_17415_20240127054203/recordings/e6fe347ca24ae8437bc462a0d4dfa432_ride_17415__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17415_20240127054203
20240127083102,frodobots_data/output_rides_0/ride_17458_20240127083102/recordings/833ea8da214011b59c50b29d1c7141c2_ride_17458__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17458_20240127083102
20240128023830,frodobots_data/output_rides_0/ride_17492_20240128023830/recordings/1f548dc0964754258e0c1c9eafdccfa2_ride_17492__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17492_20240128023830
20240128033642,frodobots_data/output_rides_0/ride_17504_20240128033642/recordings/1650a66fad4d7d825f734e84044988e2_ride_17504__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17504_20240128033642
20240128052434,frodobots_data/output_rides_0/ride_17532_20240128052434/recordings/253a03f3a6411a711a8ab6b08eb40aa2_ride_17532__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17532_20240128052434
20240129035348,frodobots_data/output_rides_0/ride_17578_20240129035348/recordings/b16696473c4789522e4add800725e082_ride_17578__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17578_20240129035348
20240131050626,frodobots_data/output_rides_0/ride_17675_20240131050626/recordings/10c4c4173a40509edada26b091085fa2_ride_17675__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17675_20240131050626
20240201062202,frodobots_data/output_rides_0/ride_17741_20240201062202/recordings/8babcef9ce46a08316959ab4f8632312_ride_17741__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17741_20240201062202
20240202045119,frodobots_data/output_rides_0/ride_17773_20240202045119/recordings/44e205dbad4108a6d99aa6b1c4928f99_ride_17773__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17773_20240202045119
20240203045021,frodobots_data/output_rides_0/ride_17811_20240203045021/recordings/17725e9fa5443f485af81883a3f3b77f_ride_17811__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17811_20240203045021
20240203051535,frodobots_data/output_rides_0/ride_17819_20240203051535/recordings/71eb0f3bb041d858e789e2af5cf4e078_ride_17819__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17819_20240203051535
20240203092913,frodobots_data/output_rides_0/ride_17832_20240203092913/recordings/d191fc167142f98ed2b863b5bea0dadb_ride_17832__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_0/ride_17832_20240203092913
20240206085734,frodobots_data/output_rides_1/ride_17924_20240206085734/recordings/7fe8a1b61f486a96205631b77dd49cc7_ride_17924__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_1/ride_17924_20240206085734
20240207043630,frodobots_data/output_rides_1/ride_17958_20240207043630/recordings/280b355f3a4c98cec5e86ca2960fc00a_ride_17958__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_1/ride_17958_20240207043630
20240207062907,frodobots_data/output_rides_1/ride_17988_20240207062907/recordings/a738c65663433133ae14dcab9e35a5f7_ride_17988__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_1/ride_17988_20240207062907
20240208005912,frodobots_data/output_rides_1/ride_18023_20240208005912/recordings/17ce4d6cd8487670bfc1bf871a536ec5_ride_18023__uid_s_1000__uid_e_video.m3u8,frodobots_data/output_rides_1/ride_18023_20240208005912
